               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.083231,             0.25069,           0.0030198,             0.89981,             0.36612,             0.41236,               0.174,            0.073245,             0.14423,           0.0031805,           0.0032151,           0.0032151,            0.070015
                  37,             0.08444,             0.24139,           0.0035781,             0.88207,             0.34734,             0.39192,             0.16059,            0.077354,             0.14635,           0.0032352,           0.0032962,           0.0032962,            0.069196
                  38,            0.084403,             0.23665,           0.0037084,             0.95721,             0.38473,             0.44515,             0.19186,            0.069317,             0.14867,           0.0032225,           0.0033769,           0.0033769,            0.068377
                  39,             0.08013,             0.23567,            0.003078,             0.75863,             0.40026,             0.30314,             0.10573,            0.072713,             0.15186,           0.0031092,           0.0034571,           0.0034571,            0.067557
                  40,            0.079286,             0.23935,           0.0033172,             0.94123,             0.37818,             0.43977,             0.20887,            0.069401,              0.1521,           0.0031712,           0.0035368,           0.0035368,            0.066737
                  41,            0.082086,              0.2281,           0.0043551,             0.84319,             0.32652,             0.36718,              0.1869,            0.074014,             0.14791,           0.0032022,            0.003616,            0.003616,            0.065916
                  42,            0.081097,             0.24519,           0.0030066,             0.94359,             0.40054,             0.43734,             0.19094,            0.071332,             0.14832,           0.0031304,           0.0036947,           0.0036947,            0.065095
                  43,            0.081259,             0.23721,           0.0031679,             0.89986,             0.35312,             0.38028,              0.1157,            0.077689,             0.16345,           0.0030879,           0.0037728,           0.0037728,            0.064273
                  44,            0.083894,              0.2488,           0.0032519,             0.82436,             0.38049,             0.34161,             0.15242,            0.071812,             0.15085,           0.0031497,           0.0038504,           0.0038504,             0.06345
                  45,            0.082397,             0.23084,           0.0035481,              0.9612,             0.38975,             0.44029,              0.1732,            0.077657,             0.15504,           0.0031459,           0.0039274,           0.0039274,            0.062627
                  46,            0.078252,             0.23702,           0.0035914,             0.82596,             0.35089,             0.37491,             0.16785,            0.073433,              0.1498,           0.0031023,           0.0040039,           0.0040039,            0.061804
                  47,            0.079886,             0.23772,           0.0033124,             0.87766,             0.40938,             0.41495,             0.17798,            0.076848,              0.1516,           0.0031564,           0.0040798,           0.0040798,             0.06098
                  48,            0.079247,             0.24476,           0.0035619,              0.9637,             0.42848,              0.4653,             0.22992,             0.06959,             0.14557,           0.0032295,           0.0041551,           0.0041551,            0.060155
                  49,             0.08335,             0.26261,           0.0040308,             0.78559,             0.37278,             0.32715,             0.12625,            0.080693,             0.15726,           0.0031961,           0.0042298,           0.0042298,             0.05933
                  50,            0.082003,             0.22921,           0.0030218,             0.91918,             0.42585,              0.4543,             0.21256,            0.075755,             0.14572,            0.003233,           0.0043039,           0.0043039,            0.058504
                  51,            0.080262,               0.245,           0.0031896,             0.93131,             0.36793,              0.4207,             0.13975,            0.073657,             0.16883,           0.0031781,           0.0043773,           0.0043773,            0.057677
                  52,            0.077101,             0.23743,           0.0032453,             0.88659,             0.39707,             0.43651,             0.21997,            0.069811,             0.15129,           0.0030953,           0.0044502,           0.0044502,             0.05685
                  53,            0.078206,             0.23441,            0.003781,             0.91471,             0.42551,             0.44253,               0.211,            0.072547,             0.14599,           0.0031431,           0.0045224,           0.0045224,            0.056022
                  54,            0.075683,             0.23194,           0.0029307,             0.84467,             0.37811,             0.35917,             0.12034,            0.074407,             0.17326,           0.0030909,           0.0045939,           0.0045939,            0.055194
                  55,            0.079533,             0.23437,           0.0042932,             0.94064,             0.39823,             0.43375,             0.12504,            0.078116,              0.1654,           0.0031286,           0.0046648,           0.0046648,            0.054365
                  56,            0.081861,              0.3064,           0.0032596,             0.84063,             0.35852,             0.35806,             0.10613,            0.075578,             0.16617,           0.0032095,           0.0047351,           0.0047351,            0.053535
                  57,            0.082814,             0.27202,           0.0039687,             0.68959,             0.32382,             0.19036,            0.062778,            0.077106,             0.33465,           0.0033325,           0.0048046,           0.0048046,            0.052705
                  58,            0.084873,             0.29096,           0.0044116,             0.72785,             0.31958,             0.20867,            0.045351,            0.084025,             0.17354,            0.003384,           0.0048734,           0.0048734,            0.051873
                  59,            0.087456,             0.29054,           0.0039215,             0.71561,             0.26523,             0.21533,            0.060147,            0.078083,              0.3225,           0.0032986,           0.0049416,           0.0049416,            0.051042
                  60,            0.079751,             0.24513,           0.0031998,             0.77943,             0.31419,             0.29193,            0.082422,            0.072973,             0.18827,           0.0032014,            0.005009,            0.005009,            0.050209
                  61,            0.082522,             0.25273,           0.0039829,              0.7386,             0.35582,             0.26155,            0.086586,            0.073196,             0.15771,           0.0032429,           0.0050758,           0.0050758,            0.049376
