               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.08127,             0.23086,           0.0037392,             0.89323,             0.44796,             0.43217,             0.22947,            0.074368,             0.14843,           0.0026643,           0.0032151,           0.0032151,            0.070015
                  37,            0.079144,             0.24646,           0.0035151,             0.74142,             0.37298,             0.29198,             0.12304,            0.078573,             0.14695,           0.0025477,           0.0032962,           0.0032962,            0.069196
                  38,            0.077605,             0.22858,           0.0033846,             0.97489,             0.45143,             0.47977,             0.23748,            0.067063,             0.13826,           0.0025982,           0.0033769,           0.0033769,            0.068377
                  39,            0.075704,             0.22605,           0.0033403,             0.95607,             0.43264,             0.47365,             0.27099,            0.072981,             0.14328,           0.0026137,           0.0034571,           0.0034571,            0.067557
                  40,            0.074991,             0.22358,           0.0037275,             0.97961,             0.46182,             0.48773,             0.25682,            0.067208,             0.14091,           0.0025324,           0.0035368,           0.0035368,            0.066737
                  41,            0.077368,             0.23376,           0.0039014,             0.93692,             0.41378,             0.45298,             0.18724,            0.078701,             0.18266,           0.0025099,            0.003616,            0.003616,            0.065916
                  42,            0.077725,             0.22984,           0.0035832,             0.97714,              0.4669,             0.48669,             0.27488,            0.072593,             0.13943,            0.002551,           0.0036947,           0.0036947,            0.065095
                  43,             0.07673,             0.21179,           0.0035288,             0.97599,             0.44804,             0.48234,              0.2787,            0.078494,             0.13737,           0.0026594,           0.0037728,           0.0037728,            0.064273
                  44,            0.074868,              0.2289,           0.0035729,             0.98017,             0.45676,             0.48427,             0.29548,            0.071031,             0.13832,           0.0026699,           0.0038504,           0.0038504,             0.06345
                  45,             0.07328,              0.2207,           0.0037384,             0.92653,             0.44916,             0.47022,             0.25637,            0.074859,             0.13921,           0.0026708,           0.0039274,           0.0039274,            0.062627
                  46,             0.07542,             0.23535,           0.0032884,             0.97063,              0.4642,             0.48505,             0.25603,            0.067348,             0.14023,           0.0026616,           0.0040039,           0.0040039,            0.061804
                  47,            0.073729,             0.23162,           0.0038789,             0.97382,             0.42502,             0.47329,             0.29234,            0.070264,             0.14069,            0.002586,           0.0040798,           0.0040798,             0.06098
                  48,            0.071952,             0.21486,           0.0036735,             0.96936,             0.45992,             0.48542,              0.2908,            0.063795,               0.136,            0.002526,           0.0041551,           0.0041551,            0.060155
